2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over,%,No qualifications,%,Level 1 and entry level qualifications,%,Level 2 qualifications,%,Apprenticeship,%,Level 3 qualifications,%,Level 4 qualifications or above,%,Other qualifications,%
North Northamptonshire 025A,E01027051,1681,100,301,17.9,209,12.4,281,16.7,111,6.6,285,17,437,26,57,3.4
North Northamptonshire 025B,E01027052,1249,100,172,13.8,151,12.1,204,16.3,76,6.1,233,18.7,355,28.4,58,4.6
North Northamptonshire 025C,E01027053,1782,100,226,12.7,190,10.7,287,16.1,108,6.1,381,21.4,540,30.3,50,2.8
North Northamptonshire 025D,E01027054,1007,100,260,25.8,129,12.8,153,15.2,89,8.8,170,16.9,177,17.6,29,2.9
North Northamptonshire 025E,E01027055,1065,100,239,22.4,133,12.5,158,14.8,70,6.6,212,19.9,220,20.7,33,3.1
North Northamptonshire 025F,E01027056,1260,100,325,25.8,188,14.9,209,16.6,89,7.1,201,16,210,16.7,38,3
North Northamptonshire 026A,E01027326,1344,100,272,20.2,149,11.1,209,15.6,89,6.6,230,17.1,355,26.4,40,3
North Northamptonshire 026B,E01027327,1293,100,312,24.1,150,11.6,183,14.2,93,7.2,227,17.6,293,22.7,35,2.7
North Northamptonshire 026C,E01027328,1187,100,277,23.3,169,14.2,198,16.7,81,6.8,196,16.5,233,19.6,33,2.8
North Northamptonshire 026D,E01027338,2058,100,347,16.9,180,8.7,302,14.7,117,5.7,346,16.8,729,35.4,37,1.8
North Northamptonshire 027A,E01027038,1561,100,340,21.8,200,12.8,270,17.3,107,6.9,274,17.6,319,20.4,51,3.3
North Northamptonshire 027B,E01027039,1696,100,394,23.2,188,11.1,273,16.1,98,5.8,305,18,393,23.2,45,2.7
North Northamptonshire 027C,E01027040,1460,100,269,18.4,196,13.4,248,17,104,7.1,280,19.2,328,22.5,35,2.4
North Northamptonshire 027D,E01027041,1342,100,325,24.2,194,14.5,254,18.9,89,6.6,190,14.2,263,19.6,27,2
North Northamptonshire 027E,E01027042,1444,100,199,13.8,185,12.8,259,17.9,90,6.2,277,19.2,400,27.7,34,2.4
North Northamptonshire 028A,E01027330,1377,100,329,23.9,203,14.7,189,13.7,63,4.6,200,14.5,339,24.6,54,3.9
North Northamptonshire 028B,E01027331,1178,100,334,28.4,164,13.9,159,13.5,69,5.9,169,14.3,218,18.5,65,5.5
North Northamptonshire 028C,E01027332,1338,100,320,23.9,138,10.3,171,12.8,107,8,216,16.1,338,25.3,48,3.6
North Northamptonshire 028D,E01027333,1849,100,291,15.7,202,10.9,281,15.2,95,5.1,348,18.8,585,31.6,47,2.5
North Northamptonshire 028E,E01027334,1017,100,297,29.2,186,18.3,167,16.4,45,4.4,137,13.5,142,14,43,4.2
North Northamptonshire 029A,E01027343,1195,100,230,19.2,153,12.8,186,15.6,90,7.5,206,17.2,294,24.6,36,3
North Northamptonshire 029B,E01027344,1268,100,244,19.2,137,10.8,184,14.5,73,5.8,219,17.3,375,29.6,36,2.8
North Northamptonshire 029C,E01027345,1073,100,159,14.8,123,11.5,170,15.8,68,6.3,169,15.8,351,32.7,33,3.1
North Northamptonshire 029D,E01027346,1230,100,196,15.9,157,12.8,179,14.6,67,5.4,239,19.4,364,29.6,28,2.3
North Northamptonshire 029E,E01027347,1565,100,245,15.7,170,10.9,226,14.4,105,6.7,290,18.5,489,31.2,40,2.6
North Northamptonshire 030A,E01027313,1466,100,504,34.4,181,12.3,153,10.4,65,4.4,148,10.1,327,22.3,88,6
North Northamptonshire 030B,E01027314,1913,100,551,28.8,242,12.7,233,12.2,103,5.4,218,11.4,437,22.8,129,6.7
North Northamptonshire 030C,E01027316,1781,100,425,23.9,190,10.7,250,14,96,5.4,239,13.4,482,27.1,99,5.6
North Northamptonshire 030D,E01035429,1162,100,208,17.9,116,10,156,13.4,75,6.5,218,18.8,354,30.5,35,3
North Northamptonshire 030E,E01035430,1744,100,358,20.5,216,12.4,268,15.4,107,6.1,274,15.7,439,25.2,82,4.7
North Northamptonshire 031A,E01027339,1034,100,265,25.6,147,14.2,172,16.6,52,5,167,16.2,193,18.7,38,3.7
North Northamptonshire 031B,E01027340,1281,100,339,26.5,203,15.8,210,16.4,82,6.4,170,13.3,224,17.5,53,4.1
North Northamptonshire 031C,E01027341,1279,100,323,25.3,182,14.2,208,16.3,82,6.4,166,13,251,19.6,67,5.2
North Northamptonshire 031D,E01027342,1278,100,355,27.8,183,14.3,176,13.8,81,6.3,201,15.7,242,18.9,40,3.1
North Northamptonshire 032A,E01027350,1350,100,342,25.3,166,12.3,195,14.4,69,5.1,197,14.6,324,24,57,4.2
North Northamptonshire 032B,E01027351,1362,100,348,25.6,187,13.7,199,14.6,92,6.8,178,13.1,313,23,45,3.3
North Northamptonshire 032C,E01027352,1263,100,339,26.8,152,12,165,13.1,94,7.4,170,13.5,297,23.5,46,3.6
North Northamptonshire 032D,E01035431,1182,100,301,25.5,129,10.9,142,12,67,5.7,156,13.2,324,27.4,63,5.3
North Northamptonshire 032E,E01035432,932,100,255,27.4,135,14.5,135,14.5,56,6,138,14.8,179,19.2,34,3.6
North Northamptonshire 033A,E01027309,1270,100,277,21.8,150,11.8,190,15,90,7.1,207,16.3,312,24.6,44,3.5
North Northamptonshire 033B,E01027310,1170,100,329,28.1,188,16.1,186,15.9,74,6.3,160,13.7,190,16.2,43,3.7
North Northamptonshire 033C,E01027311,1147,100,254,22.1,119,10.4,176,15.3,71,6.2,197,17.2,283,24.7,47,4.1
North Northamptonshire 033D,E01027312,1212,100,301,24.8,194,16,196,16.2,70,5.8,175,14.4,227,18.7,49,4
North Northamptonshire 034A,E01027061,2096,100,393,18.8,266,12.7,350,16.7,149,7.1,394,18.8,478,22.8,66,3.1
North Northamptonshire 034B,E01027062,1903,100,355,18.7,245,12.9,364,19.1,122,6.4,321,16.9,442,23.2,54,2.8
North Northamptonshire 034C,E01027063,1556,100,250,16.1,165,10.6,256,16.5,101,6.5,277,17.8,474,30.5,33,2.1
North Northamptonshire 034D,E01027064,1351,100,296,21.9,166,12.3,190,14.1,125,9.3,258,19.1,289,21.4,27,2
North Northamptonshire 034E,E01027072,1273,100,308,24.2,208,16.3,225,17.7,85,6.7,180,14.1,222,17.4,45,3.5
North Northamptonshire 034F,E01027073,1680,100,403,24,181,10.8,276,16.4,115,6.8,297,17.7,358,21.3,50,3
North Northamptonshire 035A,E01027034,1375,100,345,25.1,197,14.3,194,14.1,80,5.8,214,15.6,307,22.3,38,2.8
North Northamptonshire 035B,E01027035,1205,100,241,20,159,13.2,207,17.2,78,6.5,202,16.8,276,22.9,42,3.5
North Northamptonshire 035C,E01027037,2022,100,274,13.6,242,12,328,16.2,141,7,365,18.1,629,31.1,43,2.1
North Northamptonshire 035D,E01033244,2126,100,291,13.7,231,10.9,343,16.1,124,5.8,412,19.4,671,31.6,54,2.5
North Northamptonshire 035E,E01033245,888,100,146,16.4,125,14.1,139,15.7,44,5,187,21.1,226,25.5,21,2.4
North Northamptonshire 036A,E01027317,1252,100,321,25.6,192,15.3,162,12.9,72,5.8,185,14.8,284,22.7,36,2.9
North Northamptonshire 036B,E01027318,1110,100,312,28.1,169,15.2,196,17.7,42,3.8,146,13.2,199,17.9,46,4.1
North Northamptonshire 036C,E01027319,1241,100,297,23.9,183,14.7,191,15.4,68,5.5,181,14.6,272,21.9,49,3.9
North Northamptonshire 036D,E01027320,1628,100,343,21.1,218,13.4,258,15.8,106,6.5,277,17,381,23.4,45,2.8
North Northamptonshire 036E,E01027321,1378,100,219,15.9,160,11.6,207,15,69,5,251,18.2,439,31.9,33,2.4
North Northamptonshire 037A,E01027058,1391,100,320,23,201,14.5,246,17.7,95,6.8,230,16.5,261,18.8,38,2.7
North Northamptonshire 037B,E01027059,1434,100,313,21.8,186,13,217,15.1,76,5.3,278,19.4,326,22.7,38,2.6
North Northamptonshire 037C,E01027060,1735,100,383,22.1,231,13.3,284,16.4,95,5.5,295,17,383,22.1,64,3.7
North Northamptonshire 037D,E01027065,1582,100,375,23.7,226,14.3,254,16.1,85,5.4,248,15.7,342,21.6,52,3.3
North Northamptonshire 037E,E01027069,1434,100,315,22,180,12.6,221,15.4,92,6.4,240,16.7,343,23.9,43,3
